"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-27 14:11:03",961200.0,201.6915
"2021-03-27 14:41:03",963000.0,192.8219
"2021-03-27 15:11:03",964800.0,192.8219
"2021-03-27 15:41:03",966600.0,201.6915
"2021-03-27 16:11:03",968400.0,210.9691
"2021-03-27 16:41:03",970200.0,201.6915
"2021-03-27 17:11:03",972000.0,184.3423
"2021-03-27 17:41:03",973800.0,220.6734
"2021-03-27 18:11:03",975600.0,220.6734
"2021-03-27 18:41:03",977400.0,184.3423
"2021-03-27 19:11:03",979200.0,4.8261
"2021-03-27 19:41:03",981000.0,4.8261
"2021-03-27 20:11:03",982800.0,4.8261
"2021-03-27 20:41:03",984600.0,4.8261
"2021-03-27 21:11:03",986400.0,4.8261
"2021-03-27 21:41:03",988200.0,4.8261
"2021-03-27 22:11:03",990000.0,4.8261
"2021-03-27 22:41:03",991800.0,4.8261
"2021-03-27 23:11:03",993600.0,4.8261
"2021-03-27 23:41:03",995400.0,4.8261
"2021-03-28 00:11:03",997200.0,4.8261
"2021-03-28 00:41:03",999000.0,4.8261
"2021-03-28 01:11:03",1000800.0,4.8261
"2021-03-28 01:41:03",1002600.0,4.8261
"2021-03-28 02:11:03",1004400.0,230.8242
"2021-03-28 02:41:03",1006200.0,220.6734
"2021-03-28 03:11:03",1008000.0,201.6915
"2021-03-28 03:41:03",1009800.0,201.6915
"2021-03-28 04:11:03",1011600.0,220.6734
"2021-03-28 04:41:03",1013400.0,201.6915
"2021-03-28 05:11:03",1015200.0,184.3423
"2021-03-28 05:41:03",1017000.0,192.8219
"2021-03-28 06:11:03",1018800.0,210.9691
"2021-03-28 06:41:03",1020600.0,220.6734
"2021-03-28 07:11:03",1022400.0,220.6734
"2021-03-28 07:41:03",1024200.0,201.6915
"2021-03-28 08:11:03",1026000.0,220.6734
